year,quarter,region,market_final,channel,viewability_percentage,unsafe_percentage,total_fraud_precentage
2020,Q1,APAC,Malaysia,Mobile in app,69.00%,3.60%,1.60%
2020,Q1,APAC,Malaysia,Video,73.00%,11.30%,0.70%
2020,Q1,APAC,New Zealand,Display,57.00%,8.60%,2.10%
2020,Q1,APAC,New Zealand,Mobile in app,51.00%,2.30%,1.20%
2020,Q1,APAC,New Zealand,Video,73.00%,14.20%,1.20%
2020,Q1,APAC,Pakistan,Display,56.00%,8.10%,4.20%
2020,Q1,APAC,Pakistan,Mobile in app,52.00%,3.60%,2.30%
2020,Q1,APAC,Pakistan,Video,56.00%,11.30%,6.80%
2020,Q1,APAC,Philippines,Display,52.00%,6.50%,2.10%
2020,Q1,APAC,Philippines,Mobile in app,73.00%,2.10%,2.10%
2020,Q1,APAC,Philippines,Video,71.00%,11.50%,0.60%
2020,Q1,APAC,Singapore,Display,55.00%,6.80%,3.80%
2020,Q1,APAC,Singapore,Mobile in app,67.00%,11.10%,3.00%
2020,Q1,APAC,Singapore,Video,65.00%,16.60%,2.50%
2020,Q1,APAC,South Korea,Display,54.00%,8.10%,3.70%
2020,Q1,APAC,South Korea,Mobile in app,59.00%,3.60%,1.50%
2020,Q1,APAC,South Korea,Video,59.00%,11.30%,0.40%
2020,Q1,APAC,Taiwan,Display,52.00%,8.10%,1.70%
2020,Q1,APAC,Taiwan,Mobile in app,63.00%,3.60%,0.60%
2020,Q1,APAC,Taiwan,Video,52.00%,11.30%,1.70%
